length, eff, eps, r_bat, R_m, R_p, R_s
6.210740538603752581e-02,2.324880406559775015e-01,3.208333063497982307e-01,9.053568412919444919e-01,7.250215416870902629e+01,9.766510238533504662e+01,1.996314084172900039e+02
1.069758753676788993e-01,3.151991649809453566e-01,7.675083547433835252e-01,9.978304031258642404e-01,5.998223816107152118e+01,8.467047948785365463e+01,1.442159848777094453e+02
8.142777154243198423e-02,3.410542127396135603e-01,4.381565471502067433e-01,5.403843454167295279e-01,1.698510067232736276e+01,1.420759768032302439e+01,1.805164060590879558e+02
2.244538256832935563e-01,3.472089686547200071e-01,1.321941155225327402e-01,1.695040846439630489e-01,1.531728949135780837e+01,1.198645685077918870e+02,1.417944508246711166e+02
1.987978918868819889e-01,2.875776171159691863e-01,6.851877265781354254e-01,5.235180899999696269e-01,2.225962676627989936e+02,2.272299490108450186e+02,1.312683747325633590e+02
5.900725924969678349e-02,3.055353965214742118e-01,7.544716651210675584e-01,4.950974170669052987e-01,3.085966084598703674e+01,7.543247448939040112e+01,4.339703275018057838e+01
3.940875504623503334e-02,2.527105274750014452e-01,1.062974528107457628e-01,4.828473891933001139e-01,2.349693588321448772e+02,8.746548405552294980e+01,1.700829461809597376e+02
1.132296955387084997e-01,3.037190459178822355e-01,4.239266986906045642e-02,3.049272093502141678e-01,1.705547410812770295e+02,1.477406079280681013e+02,2.308389497887200292e+01
1.700628080621422941e-02,3.088205940716810538e-01,4.861743848606723262e-01,5.306792073224529949e-01,1.905653176736020669e+02,4.900207088624090090e+01,2.287968931077216155e+02
2.294156595521336661e-01,3.839899463354208842e-01,4.699684787706822631e-01,6.209607036300671679e-01,2.379380335958349519e+02,1.406044383906196913e+02,7.414426191853061709e+01
1.197458295239107046e-01,2.795447891501339766e-01,5.714175566064016998e-02,4.440737475114361898e-02,4.706800330543574518e+01,2.022749066981006081e+02,1.519239059298173800e+02
3.400875157854738040e-02,2.360867182998787062e-01,3.903116326634632482e-01,2.458106597827886264e-01,3.395524310072920571e+01,5.709093746622740184e+01,2.153859214886979601e+02
8.693773052347274211e-02,2.517122307452012153e-01,3.524678553545017023e-01,2.747205804188093681e-02,2.230226104189689806e+02,1.970105931025313453e+02,1.611557461807839786e+02
1.288117355315043788e-01,3.455298271619872685e-01,6.650374956074142641e-02,7.882463548283775712e-01,3.317458940125906253e+01,2.521710295346101560e+01,6.795623565245347208e+01
1.557924254571487199e-01,3.870567955837513341e-01,3.113256918867333134e-01,8.664830409879896722e-01,1.442427526628709984e+02,1.027460900306174096e+01,1.585324470371311065e+02
2.585570467377078935e-02,3.437860686358388262e-01,4.969050911304270790e-01,8.140414202232210128e-01,5.115743970571498522e+01,1.434311355943395085e+02,2.421816134650896402e+02
2.011373780338311101e-01,2.069389416211181720e-01,6.100006378476128255e-01,1.143622027131859509e-01,2.115607004164718035e+02,1.508908457577650779e+02,8.320587702380400685e+01
1.237918350607947054e-01,3.296809852987568901e-01,3.794238850519081052e-01,7.450100719242518377e-01,1.589146969175749859e+02,2.439167145399324568e+02,2.444792773426692918e+02
2.162411339136334765e-01,3.301377417923346269e-01,1.822016277856991218e-01,7.333488293774169664e-01,3.735841203217988493e+01,7.251300377945236164e+01,2.096429009764297007e+02
2.499324412998205069e-01,3.570722622438158855e-01,2.230066702214369978e-01,4.371377996245329745e-01,1.284129246026673741e+02,1.841535850151043405e+02,2.387324835409031323e+02
1.499656899471802918e-01,2.742215402117656464e-01,6.371985782184113045e-01,5.068784948750813119e-02,5.658398907231747188e+01,1.261266869555871182e+02,1.090340455204328265e+02
8.394355031893240005e-02,3.182799978973894772e-01,7.980410069548203866e-01,4.094999572172398628e-01,8.264642066644739771e+01,6.990962793783035067e+01,2.497660286427315270e+02
2.534051187153567655e-02,2.447802466542607913e-01,4.563658000486787159e-01,4.230193147706320378e-01,2.584524550164998047e+00,2.105244450953568673e+02,1.146455843634402925e+02
1.773029330439608586e-01,2.485294358668050929e-01,5.151027174342683868e-01,2.935562289917234557e-01,1.777020905464152349e+02,3.453297176716933592e+01,2.441465520892007746e+01
2.043554938405924837e-01,3.763284298073223400e-01,4.939733201445631328e-01,9.142120461469521731e-01,6.572098738376624283e+01,1.902215347587469978e+02,1.884371436597168099e+02
1.632059241753943679e-01,2.821402408133482642e-01,6.674895573650724279e-01,9.356979526294212368e-01,2.413195025189630201e+02,8.008858773323287039e+01,1.017115591001265074e+02
5.559800334828013391e-02,3.858415216782440371e-01,4.274583722275959730e-01,1.959612814557507576e-01,2.325208767062572122e+02,1.338128778736017352e+02,2.112439596089621716e+02
1.030072944580023298e-01,2.387087023001622510e-01,7.710404887023227793e-01,7.258412174838633213e-01,1.271484455981663189e+02,1.146768650553277524e+01,6.260603020255368278e+01
4.835640036519594370e-02,2.762943338962913775e-01,3.620191647150033387e-01,7.753730376542493641e-01,6.217456494704879333e+01,6.358622750387757350e+01,1.292544382831402050e+00
1.262448660895513775e-01,3.216058170695946794e-01,6.589184362216014001e-01,6.970021724197056345e-01,1.986724777998592799e+02,1.662133726883019165e+02,5.114940038856071070e+00
1.588927537652535804e-01,2.700963306595459690e-01,2.219518699239080572e-01,7.124255394683564058e-01,1.310153899745922104e+02,2.455183081780084819e+02,4.012771046434917110e+01
1.460464388075199405e-01,2.619468712250875853e-01,1.279298202014201580e-01,3.743446202015552893e-01,1.408531149016010033e+02,1.742690099549965907e+02,2.456372388735426284e+02
1.834485300080981318e-01,3.131346114339653708e-01,3.659718810283213442e-01,4.694349565646619427e-01,2.457842054230488884e+02,2.632303621718483200e+01,1.719086569567798790e+02
2.357970851901442233e-01,3.253061485040271705e-01,7.895631535614089369e-01,5.617362551693425576e-01,6.711363336943787772e+01,1.363341623968410659e+02,1.264938957967809046e+02
8.075744355248393180e-02,2.658729295465780407e-01,1.681033266881109822e-01,9.270808475693688155e-01,2.615078759049444557e+01,2.349089712768929701e+02,1.575300932377964216e+02
1.947030972177493102e-01,3.902207517562312211e-01,5.230656606211226967e-01,2.811970380999281871e-01,9.226245423975977644e+01,5.205131244476162067e+01,2.359553913739423479e+02
1.821873570780268570e-01,2.052037223313245562e-01,1.468139052988448878e-01,7.399089022466656673e-02,1.609037041634222192e+02,6.081946673556310401e+01,1.217859009672280592e+02
8.562123076194779261e-03,2.628099418674333387e-01,7.123050931512286965e-01,2.789547109753592324e-01,1.106350807920949251e+02,1.501417309478837296e+02,1.801746711166665591e+02
6.637539455864495397e-02,3.633374866887003063e-01,1.014172746036291761e-01,3.581605287926191150e-01,8.051654965260684094e+01,2.042821756239091258e+02,2.304902312409397211e+02
2.132169761598041724e-01,2.196538011560301706e-01,4.437067487513124964e-01,7.032197552688892461e-01,2.164937045597871759e+02,1.645355328067377627e+02,2.257753327597030477e+02
7.438269273231229439e-02,2.031511003208755495e-01,2.202612071107388006e-02,4.429898863938787068e-01,9.554476268371827530e+01,1.097667136093189697e+02,1.776617211218436978e+02
1.108630899673640757e-01,2.153000637269680273e-01,2.742781269564349422e-01,5.171441295888470346e-01,2.478030442841753995e+02,1.601344585439067600e+02,5.887236929805787611e+01
8.973294698342482167e-02,3.988848563726105634e-01,7.044729486043276312e-01,6.895023661290464734e-01,1.397695740826229951e+02,1.314143196668665610e+02,1.488540894325571742e+02
1.652186374909035138e-01,3.532930822980626107e-01,6.697092619679877179e-02,3.169781226514443162e-01,2.289206190878273333e+02,2.090940070709189058e+02,1.630821078380893425e+02
2.407532716125809491e-01,2.977196897225590777e-01,1.941842327140644031e-01,2.157874199266844872e-01,2.145967733890099396e+02,1.145796028129779245e+02,9.095651701743202011e+01
1.237596965976441726e-02,3.615265508178543974e-01,5.455515229420833112e-01,9.716312774775970329e-02,1.044188368981160124e+02,1.222421692164561335e+02,1.904575216853783459e+01
2.197174998426408565e-01,3.396262363403407258e-01,5.710620859585314735e-01,8.382627767869220703e-01,1.166692966942806038e+02,4.335109596847929225e+01,5.477843306761324982e+01
1.385765599302566653e-01,2.251577731227316637e-01,6.949153177861620012e-01,5.730126467760071618e-01,3.865363428578304195e+01,4.050143165467667927e+01,1.850771409573478081e+02
2.231652903330987592e-01,2.436996973283938606e-01,4.080051323225752369e-01,3.969979355743782357e-01,1.097386252780932203e+01,1.623965882759602266e+02,2.143740481478870663e+02
1.191686797575017970e-01,2.734941910497171724e-01,3.379867667529608544e-01,9.506069715195480940e-01,2.439482896471694460e+02,2.390213905043692932e+02,1.303200795572396089e+02
1.009323361841419769e-01,2.856960194575466350e-01,1.698236396565291073e-01,8.868950485037374598e-01,1.835848074146077522e+02,1.959235534775198317e+01,7.912463091317114561e+01
1.720337421294953761e-01,3.685363811809582169e-01,1.855489426509531470e-01,2.596820130671336768e-01,1.522178339749976885e+02,8.400938793028938534e+00,5.708547585397798940e+01
2.269075315479485502e-02,2.231648361889540799e-01,3.764834955680685935e-01,6.116223569352627898e-01,1.740413655051554542e+02,1.875368670593833826e+02,2.028050884672323662e+02
1.317797229742419529e-01,2.412784161287432338e-01,2.849650024576753093e-01,4.771728592098677946e-01,2.041479441009560247e+01,1.269892901870564250e+00,9.671389335711829460e+01
1.801290800863223907e-01,3.653714422395116790e-01,6.607584473372664080e-01,3.360017522037722082e-01,7.735096132999103702e+01,1.979582655179593758e+02,1.670702888523989316e+01
2.475047614570200505e-01,2.461789648870548186e-01,6.269104764249792128e-01,5.552522799995621705e-01,1.002641316531600353e+02,1.577383270163195448e+02,2.681346410092104549e+01
1.345400369122529832e-02,2.177027061001388653e-01,3.046138173490038903e-01,7.578816907665720803e-01,1.025538960987790915e+02,2.062747038127174619e+02,5.106029124015617526e+01
1.161374817830852779e-01,3.102507502805939565e-01,6.143797529991019690e-01,6.017077651347674250e-01,7.394951038793909959e+01,2.424939110558925961e+02,1.251062600397921472e+02
2.092446471752825721e-01,2.292601544055875851e-01,2.586436476213314073e-01,9.736554345099664998e-01,2.021667734223820787e+02,1.128093435032108260e+02,3.373208221947302832e+01
9.338822906333506257e-02,2.083706377715025260e-01,7.516320886395697620e-01,5.988624401494309080e-01,1.194195305357433341e+02,1.754096401528894091e+02,8.788258787942498884e+01
1.480429732751295802e-01,2.301137556799494888e-01,2.390936575979384360e-01,4.117604557202568794e-01,2.395556569371858657e+01,1.790577820842118513e+02,4.197319550018852397e+01
2.445702231496255652e-01,2.586886890212006795e-01,5.104228790956198969e-01,3.400883787712347117e-01,9.607522945221320754e+01,1.762631166994137644e+01,1.728539001745752728e+02
1.606474030859880442e-01,3.068891372474470414e-01,1.158977779883627046e-01,9.455729203947451644e-01,1.782038549075640503e+02,1.029815123769995466e+02,1.955581393775029255e+02
3.210558696611838514e-02,3.355851828219090227e-01,4.765329708213902893e-02,7.969497495748669724e-01,1.872653653973887060e+02,2.184066412720029575e+02,1.672474595926811958e+02
9.816460748099681277e-02,2.887815496656305214e-01,7.787611630932553819e-01,1.777120039008109331e-01,2.354580444816328963e+02,9.967271976156659719e+01,1.076314479674925764e+02
5.355837689981139509e-03,2.907090737199065078e-01,8.485759165281830940e-02,5.811871307501372819e-01,4.571396565092992148e+01,1.046783000589584418e+02,1.039182904449633043e+02
6.532969839221310082e-02,3.374576410370719315e-01,2.372563146498802844e-01,7.201508907130980269e-03,4.977702316404615601e+01,6.741941286487131890e+01,1.121686867626560087e+02
4.797577865673993691e-02,3.754510241144187188e-01,6.771609036183743324e-01,8.320943301157461558e-02,1.066173377629686456e+02,2.324947147077402008e+02,1.454480149082109506e+02
2.260941905107056726e-01,3.019278722460663200e-01,2.519127595889118498e-01,8.406887366659068217e-01,2.137283487182857300e+01,1.546153111332612866e+02,7.044222080416467691e+01
1.732267136896596116e-01,2.268439189175240345e-01,5.801951987582272263e-01,8.925102832937740205e-01,5.452798620931066154e+01,1.931297681768791108e+02,1.534666367498454917e+02
1.980490401263515499e-01,3.947261272390740205e-01,1.423632838066460626e-01,8.091715014298458408e-01,1.557857810713864239e+02,2.135983947070881470e+02,7.736611538321380976e+01
1.695539347909669758e-01,2.551893376901161470e-01,7.363433290600036596e-01,1.031985088205271128e-01,1.338978209798988814e+02,1.178116433079076018e+02,2.337241498714190300e+02
3.697755156956508693e-02,2.687814556758569284e-01,5.952031256039277407e-01,2.650823666690498293e-01,1.807680392405592045e+02,2.245353361632396911e+02,3.621775870146309728e+01
1.446647015704806138e-01,3.701052974346540902e-01,5.283520010187395810e-01,1.289441004824139481e-01,2.067308888504653908e+02,1.231512359187295829e+02,3.171695639255140264e+01
9.592259105755987503e-02,3.896872111105109115e-01,2.120893019711286021e-01,7.680211378855725801e-01,6.760888735467169397e+00,1.824320404250964032e+02,1.193935486756151363e+02
1.725351664645107365e-03,2.942045038134283308e-01,5.570290176016934325e-01,5.003189320445087240e-01,2.090004458705916193e+02,4.312018532041989971e+01,4.600128404917218461e+01
4.298757431348247671e-02,2.343017570137970740e-01,7.909807991234577007e-02,4.534898587024420169e-01,1.467533759419561932e+02,5.506403670865248046e+01,1.199667798702125232e+01
7.648855230025257412e-02,3.678669179570343561e-01,2.922368090501416965e-02,3.835208021559435299e-01,1.690024516752250463e+02,6.073192442439646754e+01,2.213930389610079885e+02
1.922316947665881071e-01,2.213202037252709198e-01,4.220071966480083980e-01,9.876256368626108451e-01,1.097617380570336678e+02,3.233268465254321455e+01,1.330074593156485605e+02
5.294512648733760291e-02,3.482696007787449699e-01,4.587022647311076451e-01,8.551666727695945713e-01,8.378163052422107171e+01,2.163214681023484616e+02,1.068592990468500048e+01
4.412883768714608024e-02,3.599620917534037678e-01,5.995982422085143204e-01,1.560145824550589477e-01,1.494551431406023880e+02,4.693335325723749563e+00,1.390743919704241591e+02
7.234383358301525735e-02,3.939479249166384367e-01,1.999603097764806048e-01,6.460150639538501105e-01,2.046880308199429521e+02,1.074580036266926157e+02,6.568483393739820997e+01
1.877430610843823164e-02,3.279730291517752305e-01,5.418004515496503970e-01,9.672107798660672939e-01,1.967346875690308536e+02,1.379816715987275586e+02,1.175637859721530987e+02
1.883229009755242322e-01,2.565021560998055339e-01,3.469687603091997641e-01,3.047340965829029025e-02,1.367663587557640597e+02,2.299156121116073734e+02,3.004258821140300739e+01
2.136565417031495162e-01,3.722356610563020141e-01,6.355050404525697250e-01,2.050414185197720895e-01,2.178460279908370296e+02,1.282852480088344578e+02,1.904323376641192169e+02
2.854491725431555771e-03,3.326747178761826351e-01,2.917440046614285243e-01,3.285480741064256693e-01,1.946266185986642085e+02,1.693811780696231324e+02,9.839397864263776228e+01
1.322922460201457484e-01,3.971470284067679657e-01,3.996081673749425356e-01,3.681568870157726492e-01,3.981374617627617241e+00,9.115796341568255912e+01,4.901723827709805903e+01
1.547117350911542677e-01,3.506963285506568551e-01,5.640669796279323966e-01,1.841811721128986112e-01,1.080600137857055998e+01,1.911902330099236167e+02,2.194111707398329258e+02
