length, eff, P_un, eps, alp, GlMain, GlProp, GlTether, GlPanel
1.693333333333333357e-01,2.733333333333333171e-01,6.666666666666666297e-01,2.800000000000000822e-01,3.133333333333333526e-01,3.360000000000000209e-01,4.000000000000000083e-03,1.000000000000000000e+00,6.679999999999999272e-01
1.693333333333333357e-01,3.200000000000000067e-01,6.666666666666666297e-01,2.800000000000000822e-01,3.133333333333333526e-01,3.360000000000000209e-01,4.000000000000000083e-03,1.000000000000000000e+00,6.679999999999999272e-01
1.693333333333333357e-01,3.200000000000000067e-01,6.666666666666666297e-01,2.800000000000000822e-01,3.133333333333333526e-01,3.360000000000000209e-01,6.679999999999999272e-01,1.000000000000000000e+00,6.679999999999999272e-01
1.693333333333333357e-01,3.200000000000000067e-01,6.666666666666666297e-01,2.800000000000000822e-01,3.133333333333333526e-01,3.360000000000000209e-01,6.679999999999999272e-01,3.360000000000000209e-01,6.679999999999999272e-01
1.693333333333333357e-01,3.200000000000000067e-01,6.666666666666666297e-01,2.800000000000000822e-01,3.133333333333333526e-01,1.000000000000000000e+00,6.679999999999999272e-01,3.360000000000000209e-01,6.679999999999999272e-01
1.693333333333333357e-01,3.200000000000000067e-01,6.666666666666666297e-01,2.800000000000000822e-01,4.799999999999999822e-01,1.000000000000000000e+00,6.679999999999999272e-01,3.360000000000000209e-01,6.679999999999999272e-01
1.693333333333333357e-01,3.200000000000000067e-01,6.666666666666666297e-01,8.000000000000000444e-01,4.799999999999999822e-01,1.000000000000000000e+00,6.679999999999999272e-01,3.360000000000000209e-01,6.679999999999999272e-01
1.693333333333333357e-01,3.200000000000000067e-01,6.666666666666666297e-01,8.000000000000000444e-01,4.799999999999999822e-01,1.000000000000000000e+00,6.679999999999999272e-01,3.360000000000000209e-01,4.000000000000000083e-03
8.466666666666668173e-02,2.733333333333333171e-01,3.333333333333333703e-01,2.000000000000000042e-02,3.133333333333333526e-01,4.000000000000000083e-03,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000083e-03
8.466666666666668173e-02,2.733333333333333171e-01,3.333333333333333703e-01,2.000000000000000042e-02,3.133333333333333526e-01,4.000000000000000083e-03,1.000000000000000000e+00,3.360000000000000209e-01,4.000000000000000083e-03
8.466666666666668173e-02,2.733333333333333171e-01,3.333333333333333703e-01,2.000000000000000042e-02,3.133333333333333526e-01,4.000000000000000083e-03,3.360000000000000209e-01,3.360000000000000209e-01,4.000000000000000083e-03
8.466666666666668173e-02,2.733333333333333171e-01,3.333333333333333703e-01,5.400000000000000355e-01,3.133333333333333526e-01,4.000000000000000083e-03,3.360000000000000209e-01,3.360000000000000209e-01,4.000000000000000083e-03
8.466666666666668173e-02,2.733333333333333171e-01,3.333333333333333703e-01,5.400000000000000355e-01,3.133333333333333526e-01,6.679999999999999272e-01,3.360000000000000209e-01,3.360000000000000209e-01,4.000000000000000083e-03
2.540000000000000036e-01,2.733333333333333171e-01,3.333333333333333703e-01,5.400000000000000355e-01,3.133333333333333526e-01,6.679999999999999272e-01,3.360000000000000209e-01,3.360000000000000209e-01,4.000000000000000083e-03
2.540000000000000036e-01,2.733333333333333171e-01,1.000000000000000000e+00,5.400000000000000355e-01,3.133333333333333526e-01,6.679999999999999272e-01,3.360000000000000209e-01,3.360000000000000209e-01,4.000000000000000083e-03
2.540000000000000036e-01,2.733333333333333171e-01,1.000000000000000000e+00,5.400000000000000355e-01,4.799999999999999822e-01,6.679999999999999272e-01,3.360000000000000209e-01,3.360000000000000209e-01,4.000000000000000083e-03
2.540000000000000036e-01,3.200000000000000067e-01,1.000000000000000000e+00,5.400000000000000355e-01,4.799999999999999822e-01,6.679999999999999272e-01,3.360000000000000209e-01,3.360000000000000209e-01,4.000000000000000083e-03
2.540000000000000036e-01,3.200000000000000067e-01,1.000000000000000000e+00,5.400000000000000355e-01,4.799999999999999822e-01,6.679999999999999272e-01,3.360000000000000209e-01,3.360000000000000209e-01,6.679999999999999272e-01
0.000000000000000000e+00,3.200000000000000067e-01,6.666666666666666297e-01,2.000000000000000042e-02,2.300000000000000100e-01,6.679999999999999272e-01,6.679999999999999272e-01,6.679999999999999272e-01,4.000000000000000083e-03
0.000000000000000000e+00,3.200000000000000067e-01,6.666666666666666297e-01,2.000000000000000042e-02,2.300000000000000100e-01,4.000000000000000083e-03,6.679999999999999272e-01,6.679999999999999272e-01,4.000000000000000083e-03
0.000000000000000000e+00,2.733333333333333171e-01,6.666666666666666297e-01,2.000000000000000042e-02,2.300000000000000100e-01,4.000000000000000083e-03,6.679999999999999272e-01,6.679999999999999272e-01,4.000000000000000083e-03
1.693333333333333357e-01,2.733333333333333171e-01,6.666666666666666297e-01,2.000000000000000042e-02,2.300000000000000100e-01,4.000000000000000083e-03,6.679999999999999272e-01,6.679999999999999272e-01,4.000000000000000083e-03
1.693333333333333357e-01,2.733333333333333171e-01,0.000000000000000000e+00,2.000000000000000042e-02,2.300000000000000100e-01,4.000000000000000083e-03,6.679999999999999272e-01,6.679999999999999272e-01,4.000000000000000083e-03
1.693333333333333357e-01,2.733333333333333171e-01,0.000000000000000000e+00,2.000000000000000042e-02,2.300000000000000100e-01,4.000000000000000083e-03,4.000000000000000083e-03,6.679999999999999272e-01,4.000000000000000083e-03
1.693333333333333357e-01,2.733333333333333171e-01,0.000000000000000000e+00,5.400000000000000355e-01,2.300000000000000100e-01,4.000000000000000083e-03,4.000000000000000083e-03,6.679999999999999272e-01,4.000000000000000083e-03
1.693333333333333357e-01,2.733333333333333171e-01,0.000000000000000000e+00,5.400000000000000355e-01,2.300000000000000100e-01,4.000000000000000083e-03,4.000000000000000083e-03,4.000000000000000083e-03,4.000000000000000083e-03
1.693333333333333357e-01,2.733333333333333171e-01,0.000000000000000000e+00,5.400000000000000355e-01,2.300000000000000100e-01,4.000000000000000083e-03,4.000000000000000083e-03,4.000000000000000083e-03,6.679999999999999272e-01
1.693333333333333357e-01,2.733333333333333171e-01,0.000000000000000000e+00,5.400000000000000355e-01,3.966666666666666119e-01,4.000000000000000083e-03,4.000000000000000083e-03,4.000000000000000083e-03,6.679999999999999272e-01
