length, eff, eps, ht_gain, r_bat, q_s, R_m, R_p, R_s
3.247690758035269576e-02,2.907743708295870699e-01,7.072940177128899109e-01,7.819093975064758117e-01,3.854834148355235635e-01,6.452567209780813755e+02,2.258105577128392554e+02,2.237674880819762961e+02,2.982888595214344107e+01
1.835466294970043433e-01,2.807172516461721168e-01,1.396133600511348938e-01,9.372548359536473361e-01,2.625765112957365588e-01,1.196582111355728784e+03,1.515716073160447479e+02,1.160274716249294613e+02,2.405147728406852252e+02
2.408538687709912279e-02,2.936686673599135933e-01,4.554474419311160260e-01,5.605634367671722407e-01,2.972350591693809219e-01,3.134413139587610999e+02,6.380543899906672145e+00,2.179271793311443730e+02,1.579137998391530289e+02
2.209653745737458208e-01,2.663826198305986326e-01,5.007910151570000856e-01,7.558563474849011588e-01,2.146497116336092970e-01,9.488430849652658026e+02,1.869770399271312158e+02,1.614637686653523252e+00,1.907904760958998338e+02
9.775416223416294459e-02,2.527849404744903494e-01,1.701735121217510527e-01,3.010497585916868668e-01,6.902749600433126798e-01,2.567687042867705145e+02,1.798682228172683040e+02,1.793127723490735548e+02,2.044875285874361381e+01
1.816191810486223746e-01,2.561837530769709992e-01,3.057778443572676808e-01,5.303130970090252916e-01,5.997306210314126140e-01,1.275991033143187451e+03,9.943961203597743292e+01,1.585823517078566454e+02,1.212450172498186163e+01
7.946628541269486201e-02,3.038126941566807737e-01,5.532540542885819868e-01,2.217498239586278286e-01,9.750150294805953743e-01,9.873733966132790556e+02,2.438398070608571686e+02,1.224853621546594269e+02,1.120934279189100948e+02
1.993342991115457097e-01,2.930180465655610744e-01,2.271850354520097148e-01,9.835289053663676118e-01,2.923099453044219476e-01,4.025459131026083242e+02,2.101937230868422546e+02,3.013072149132215216e+01,1.081483264148900645e+02
1.599617542492326461e-01,2.583131364626219395e-01,6.498873146957717672e-01,4.453065205470660981e-01,4.327990149282685550e-01,2.689544044505102534e+02,2.394330083071732815e+02,1.999228043284350065e+02,1.687292077891425492e+02
7.106041573115987053e-02,2.855395810350317976e-01,5.038173993190835365e-01,3.818773599709965882e-01,7.813169356130348353e-01,2.014807698089252881e+02,2.223825704927064635e+02,2.698079872697998383e+01,1.311925040719377478e+02
1.417572077244572959e-01,2.684073248510497889e-01,6.083617873611104621e-01,1.331544706201658046e-01,1.090298426883983263e-01,1.036765026282337658e+03,2.194080726260611414e+02,1.753586037471718484e+01,1.272363233168305214e+02
1.373097917113164923e-01,2.569256866439234011e-01,1.443410228055950206e-01,1.197082449631030887e-01,3.795864180132496046e-01,8.737396113534865663e+02,1.333290946799577625e+02,2.390281384920978383e+02,1.204456104247353068e+02
1.327590546379212866e-01,2.886713498238390185e-01,7.884663906602165095e-01,9.068643666337158904e-02,5.357131863038286923e-01,7.682945070173108206e+02,1.579151568980562956e+02,2.218880734398389620e+02,5.521819640776173799e+01
1.938126819124048883e-01,2.940425096424386653e-01,6.771484748058217429e-01,2.546682207154110089e-01,8.410629437605238179e-02,1.014980498699538089e+03,1.028580865373888855e+02,9.660496616211783305e+01,2.428377111548438734e+02
1.338053108277088010e-01,2.651870672695358921e-01,6.927180959372211677e-02,4.654216459868843470e-01,9.310673976789304307e-01,3.340974041759608326e+02,8.384467134284298595e+01,2.830473955111737894e+01,9.222011048807172529e+01
1.166459059545958549e-01,2.790113046710253619e-01,2.822922914697373331e-01,4.704128028385813343e-01,1.396066584328589655e-01,4.419208658304717119e+02,2.486742870826782621e+02,5.184901844589062847e+01,2.368594754171734564e+02
2.597506751841254999e-02,2.983793657654925102e-01,2.215440037756203837e-02,4.354070813529837269e-01,4.514087581354426781e-01,9.649938363175024278e+02,8.692554617149471596e+01,1.966892641317912194e+02,1.999388807021807679e+02
2.065110857645448827e-01,2.544653509260152990e-01,2.602372432786276835e-01,4.777373606821778140e-01,8.666236319224691620e-01,1.590091094460537704e+02,1.409572165994572401e+02,1.284043819008825267e+02,2.060639493990865390e+02
2.037438153631381255e-01,2.692683264768696016e-01,8.344237193506019723e-02,4.196266624797669320e-01,8.533628620329272163e-01,1.055441590756232472e+03,2.270711649243164345e+02,6.181112687112484849e+01,1.778978886235336745e+02
2.096902292236537194e-02,3.085999094418919175e-01,3.356136785023018931e-01,3.891570763315242015e-02,8.340108399870331812e-01,4.839983860983703607e+02,1.485680301048348042e+02,2.367211535235999236e+02,1.069530108385938263e+02
1.911841838797100068e-01,2.943238498377349632e-01,4.650677379479145612e-01,2.818908619197776355e-01,1.339871271828763366e-01,2.392794605988812577e+02,3.301875045576107226e+01,1.058517197211048426e+02,1.607895282815685789e+01
7.223001978675357149e-02,3.070822565087990008e-01,4.519796878838704957e-01,3.201593921396368447e-01,1.552998085095706748e-02,1.133111380565649142e+03,1.613773557405432939e+02,2.212937215911572935e+02,1.319276377269781619e+02
2.516384696360632889e-01,2.547020800520412576e-01,6.283254828185416141e-01,3.370245776783069580e-01,1.581513643154444093e-01,6.150371664464938704e+02,1.656323087581547497e+02,1.004450610291284107e+02,3.870964143541945646e+01
1.521978795455387889e-01,2.916647595997106657e-01,3.752983744962314350e-01,6.745933721559603802e-01,3.043350940262627702e-02,6.060519281596773453e+02,1.465956299705911761e+02,1.938426153023931420e+02,2.336248801217062976e+02
1.306589701391202563e-01,3.154675383641554198e-01,1.634689654334673115e-01,9.607544568791662187e-02,4.926283781133810463e-02,6.799171370771535976e+02,1.420317466505372579e+02,1.994102574059801114e+01,5.145052123692507706e+01
1.385287184042265918e-01,3.083008792081198823e-01,4.781872672354184894e-01,9.555717862168815468e-01,8.735858623401864254e-01,1.224399299836762111e+03,1.965968314398252801e+02,1.053760150174459653e+02,1.738640023433330555e+02
5.772234809531814198e-02,2.931314942752141217e-01,3.035032853259477803e-01,1.677906045384504330e-01,3.636661812939156468e-01,3.257956589048429805e+02,2.301272944403055760e+02,1.193819182507911876e+02,2.389867074195876739e+01
1.068402538766484722e-01,3.065109061835027404e-01,3.767401614744116112e-02,8.961521924328442745e-01,5.307011087233404201e-01,1.225306890530315968e+03,1.297932234992394740e+02,1.366495639417512109e+02,1.066724896259960502e+02
1.104380166337448621e-02,3.185408644999491723e-01,6.158140722890580454e-01,8.148015255271088275e-01,6.752676634469266803e-01,4.513241783221548644e+02,1.503931594078887315e+02,1.715423346865819951e+02,1.544379602544602790e+02
2.014642140549836313e-01,2.556187442363765938e-01,7.263578348189816403e-01,6.641749708640773964e-01,3.731000041943175471e-01,4.949886659764194974e+02,3.846443854473973545e+01,1.882879755229924399e+02,4.536340557819479358e+01
9.191098515658542578e-02,2.509690272546785117e-01,1.678435060794587763e-01,2.101356611675075092e-01,7.984243902740221221e-01,1.302218795898103963e+03,9.922546989182423260e+01,1.037607872873638684e+02,2.170061051747877059e+02
2.193145818225583354e-01,2.945903715929545363e-01,7.742339911037595668e-01,5.260394849722097588e-01,5.800159488409097897e-01,2.947960224618786924e+02,3.058404973118579839e+00,1.264266651177213987e+02,1.209633663094974452e+02
1.961557103047061879e-01,3.188946014495402936e-01,4.952265537729115819e-01,7.033081280229431798e-01,7.453325491405995429e-01,8.873072579887406164e+02,5.584158501549836728e+01,8.225463244389135298e+01,3.630841467453166160e+01
1.487680719322646838e-01,2.809235628160143272e-01,7.604776608288689177e-01,6.744358069705239100e-02,4.926719207123617661e-01,3.523223236200944939e+02,1.722387896312541216e+02,3.995372723090464007e+01,4.754002848495482425e+01
2.407077394314572627e-01,2.674645547570778104e-01,2.985627852914798375e-01,2.961048136448872770e-01,4.012042929901036836e-01,1.980101766142916802e+02,2.228359112140389016e+02,4.290499802190993961e+01,1.289936763316733845e+02
2.533671766672385139e-01,2.948705926773227404e-01,2.172816902335035771e-01,9.013650644748135710e-01,9.166538277398245116e-01,1.124090042037317289e+03,1.533953646786969500e+02,1.322190227824991666e+02,3.277097709147943050e+01
2.223841592135993583e-01,2.828862602719421360e-01,2.351450244992424332e-01,3.934117879155497044e-01,8.243966383136956955e-01,1.214639708788965208e+03,1.229491411805121004e+02,2.089269515752743303e+02,2.234530548598129656e+02
1.674768076176278223e-02,2.786910463999290322e-01,6.718743338154226086e-01,2.949756626829831974e-01,8.987096997413883681e-01,9.306944108450253452e+02,5.172402889875100840e+01,1.398510605239106894e+02,4.325916765002637021e+01
4.059630959953235835e-02,3.097267208841216757e-01,9.784239933659984179e-02,2.055839472834645743e-01,1.510962118802164911e-01,6.230890727147618691e+02,2.372925884548861291e+02,1.178531411529782389e+02,1.863948656472117875e+02
9.305875270381074038e-02,3.147526587342050486e-01,3.097499100201738798e-01,7.943834517069290335e-01,3.657350964926517345e-01,9.983384022374110600e+02,7.616374189345120271e+01,8.953008508742261284e+00,2.153724877456254774e+02
1.582721930933572163e-01,2.841665927692244020e-01,7.842842402741937446e-01,7.453555892112503356e-01,9.458373488676610208e-01,5.074883084298380709e+02,1.926130164992214873e+02,1.738629287671912778e+02,1.001908845261433356e+02
1.541013740670814924e-01,2.512508130592415179e-01,2.077016907379451160e-01,7.505140759803163863e-01,2.469083987459983476e-01,5.204310668876531736e+02,8.548284398358728708e+01,8.177571707157127889e+00,1.170277864514278008e+02
1.368652689867753264e-02,3.162065655966182498e-01,1.095271337313867971e-01,2.888332448386436435e-01,6.122400539633852112e-01,4.164467617747094437e+02,9.178840776246894961e+01,1.254831767736080224e+02,7.292499070930483640e+01
1.682047592667985370e-01,2.747752243068567468e-01,2.330912447792996001e-01,1.943755150653521391e-01,2.381032786898882037e-01,1.522221322764254410e+02,9.656149341687257248e+00,7.620456641290134314e+01,1.692896855515700452e+02
6.721477627850157288e-02,2.994818843671651631e-01,7.965741754895789839e-01,5.035832831906243978e-01,1.174996475272901408e-01,5.575285675970253578e+02,3.998082909562356946e+01,2.212262258334360610e+01,1.675960866753337370e+02
9.449882491591020395e-02,3.143590921328294208e-01,7.704094501340091883e-01,4.065242456440288366e-01,6.687389915914656591e-01,1.078287130676361357e+03,1.476809945388507685e+02,1.564303682177375343e+01,1.900974691188256145e+02
1.434628959242195412e-01,3.080551757713219652e-01,5.655494438533712476e-01,8.793222997392756701e-01,9.104759690796520033e-01,3.152252428926029779e+02,7.787727573773611311e+01,7.120794498792834304e+01,1.611107116851352430e+02
6.206073722480163340e-02,2.851532733261076813e-01,5.520508609434440772e-02,3.530628958537621043e-01,5.932257350443808086e-01,4.401549478806798561e+02,2.174071062552066849e+02,2.351677682581209581e+02,2.191652472813597683e+02
1.188361425014374528e-01,3.061090388384548611e-01,5.118003454362670679e-01,6.960479195942068653e-01,9.238786601143966770e-01,9.772768104705061205e+02,2.088276112733986452e+02,2.022755328830216115e+02,1.656409942398913149e+00
4.914094037215693822e-02,2.592991961450159533e-01,7.212166564492284992e-01,4.212836321681775464e-01,1.283500598946468174e-01,2.796579489158046954e+02,1.743672300917519351e+02,1.339460499377500469e+02,7.187395082312666261e+01
1.086554240712982872e-01,2.778381444062726358e-01,5.854737134333279913e-01,5.467497427133360954e-01,9.531402270129850640e-01,6.605958855155406582e+02,8.255382681657344790e+01,2.431885497300404495e+02,2.101804713126297486e+02
1.731125217130847493e-01,2.710313642687252611e-01,5.807848287246873964e-01,9.279152635918009873e-01,1.012698587637033548e-01,3.472871732480755895e+02,2.031470604777216238e+02,1.426606047120554592e+02,1.008783781851485628e+02
6.833286102461343103e-02,2.765973786491152664e-01,7.881336530507434546e-01,8.375462267586190057e-01,3.281788924018892994e-01,9.258188940921723997e+02,1.895865725601560996e+02,3.633242565067908458e+01,1.493161945254704221e+02
1.702762655623725752e-01,3.103000569085319627e-01,2.908025512006917057e-01,4.303443979765030902e-01,4.839263464735705234e-01,1.042710321305252364e+03,2.407020397258261255e+02,4.102281444200114180e+01,1.455318905644110146e+02
9.095383023430209102e-02,2.872596137035262065e-01,2.771556013786766748e-01,9.781815482106795967e-01,4.487078707779977305e-01,1.050003487851298360e+03,1.782333197583574815e+02,2.111260141434454454e+02,8.691371429153459616e+00
7.840025081236577653e-02,2.870409247561950816e-01,8.633237089856236890e-02,4.414305978762055327e-01,8.267483584415991071e-01,1.260212007978808970e+03,2.053048651563403268e+02,2.088244775643938738e+02,4.950076466507169926e+01
1.406666743100444539e-01,3.076155296710812448e-01,6.428481481297136924e-01,5.832376315742286987e-01,5.669741398156000756e-01,1.310561764491027134e+03,5.160488090734961730e+00,3.300190735592298097e+01,1.436301137694667034e+02
7.535360987910967069e-03,2.535494990727448772e-01,3.275167779507058841e-01,5.110794610522261250e-01,4.136574292493470084e-01,4.064108613299893591e+02,2.836703470321560872e+01,6.544020733515029065e+01,1.711140018157447571e+02
5.443708532045614390e-02,3.020456291501623092e-01,4.575676306277939864e-01,9.968758012303126081e-01,1.479425095675104551e-01,6.957387661691365111e+02,1.964344544691053898e+02,8.815978882636436254e+01,2.274383451590457810e+02
1.025137343724072669e-01,2.697056377061984311e-01,7.376086076600280039e-01,4.906646178406655068e-01,1.804829189560590019e-01,1.139357083760377918e+03,2.335058384310921156e+02,1.507186654639144479e+02,5.044811993975069697e+01
1.229536165400541003e-01,2.564872471565159406e-01,5.442310193964463583e-01,4.851718916317683261e-01,9.662068180561244057e-01,1.209085071558674372e+03,1.979544647583166181e+02,2.137908008283208403e+02,8.834613789984319965e+01
1.209950864038588231e-01,2.952287267252178826e-01,6.541643353762178759e-01,9.701555333585158980e-01,6.185207555039334837e-01,5.218396841523559715e+02,8.890543475163374865e+01,2.312117848990628772e+02,4.081796774932039540e+01
3.811270550711201577e-02,2.769616262494173919e-01,7.153366847934305994e-01,8.912816596524312240e-01,9.448252605194943365e-01,6.288098849829623305e+02,4.773734908352279405e+01,1.207078087028700821e+02,1.515561043217904569e+02
8.457368036294490854e-02,2.613940408427837814e-01,4.675704406595242862e-02,6.563323125576342454e-01,1.700075252882107535e-01,1.265814457263039003e+03,2.281370190991838172e+02,1.181398446330179013e+02,9.410644895697784307e+01
1.436625473375038042e-01,3.015682220338929409e-01,7.637199188552447338e-02,1.466995366386970867e-01,9.277348185695428739e-01,6.033645699305739072e+02,1.758285083563477542e+02,9.113806507832764225e+01,1.969272227179478421e+02
1.505721941327688718e-01,2.618986722750150098e-01,2.633003442181455767e-01,4.518814871831710600e-01,2.217288599765111223e-01,1.105203463698944233e+03,1.977844780445400374e+01,6.879899591533302328e+01,2.084491555161282577e+02
5.078617259630035380e-02,3.114677190017109409e-01,3.632713894864489368e-01,3.251770873163646325e-01,9.573394763170405275e-01,1.240221067775894426e+03,6.407765915687562597e+01,1.821507716638798513e+02,6.929110405975760045e+01
2.287177404726652152e-01,3.131784556829606547e-01,6.469137350024913857e-01,2.844421430071703005e-02,4.212403520554806047e-01,5.677612764721648091e+02,1.832266630470733730e+02,7.028330333146426767e+01,1.372326408254338048e+02
1.040984010002286991e-01,3.056960396331319108e-01,2.547645708783572438e-01,8.210339002416932042e-01,6.217013045360225698e-01,1.826110027746402125e+02,2.339064283084096587e+02,1.553127715550298831e+02,1.467290351352843913e+02
8.981629635969370917e-02,3.120801331977297033e-01,1.201435361138496610e-01,8.435669040551703191e-01,8.372392785750641941e-01,5.908567013979899230e+02,5.746332372526406118e+01,5.555367173120283297e+01,6.015688150466215234e+01
3.894954138222288167e-03,2.738343754626488824e-01,1.110270793082603208e-01,1.961762787242418704e-01,7.317842107549783481e-01,8.057877907105003032e+02,1.181988731695129218e+02,8.157907053810514242e+01,8.967820872041458813e+01
3.490060744980483937e-02,3.008457651213850559e-01,5.264484060000171883e-01,3.995119653099923340e-01,2.542937612354326943e-02,7.717435178597604590e+02,2.324993570816118620e+02,3.532048976765829451e+01,7.940089309198543788e+01
1.044035304640363454e-01,2.501237013894584416e-01,2.216458066913079838e-01,1.250928716061887325e-01,2.839650558781844358e-01,4.681095691474211549e+02,1.517886356914177099e+02,8.772510106187644396e+01,1.984037927957100180e+02
1.654274404428664191e-01,3.112415978879527478e-01,1.294993963403599790e-01,3.650629652045943030e-01,7.835845705996319355e-02,1.186111106271381914e+03,1.389869348686984551e+02,9.331950102318965889e+01,2.119263850703804053e+02
1.282491420807664317e-01,2.722453332278625404e-01,4.855449857843988776e-02,1.882471519599881737e-01,4.293107801993292783e-01,7.589071310511205866e+02,2.300166947323650390e+02,3.943044275299538981e+01,7.979451633171673564e+01
2.973348393396066163e-04,3.199361517220170592e-01,5.224349243967109091e-01,2.025908825183038997e-01,4.788892959439693398e-01,6.411102162256366910e+02,1.775031849583480721e+02,6.315368418343133783e+01,1.871806414054755692e+02
8.097563880533759084e-02,2.897913545195374141e-01,2.863520314836093955e-02,6.665948824254576133e-01,6.681232113827259567e-02,8.163403589437797336e+02,1.601536110680406466e+02,1.272826277784473348e+01,1.426414769251161658e+02
2.254353585271500621e-02,2.597530735545859892e-01,4.249471505411949734e-01,7.674406336623116331e-01,1.771401807137848727e-01,2.621624367058814187e+02,7.074670338491661425e+01,1.642976150223855427e+02,4.372558555376124900e+01
2.242926409869909765e-01,2.988893705668481116e-01,3.574880527657339768e-01,1.448733280453558953e-02,4.726748188252154481e-01,1.307390257403712440e+03,8.091181290224508871e+01,9.444194902581062934e+01,1.260808212091582590e+02
1.639543192807012550e-01,2.601574679705163096e-01,7.557117735771766709e-01,7.442044310665939522e-01,5.428923341682192483e-01,2.080628958614618682e+02,9.028651119870404784e+01,1.369663183353108593e+02,2.149017812349971166e+02
2.179478964365149651e-01,2.541310042450435347e-01,2.790848430021263815e-01,8.317554759559713240e-01,9.896382356072861430e-01,8.725569507475197497e+02,1.008059812389437582e+02,1.601952041812142511e+02,1.571606759115755665e+02
2.325308313296305385e-01,2.752357181602059777e-01,5.919412815532072436e-01,5.852494635315776822e-02,4.968869960455277734e-01,3.940055992428181639e+02,1.205700825419202431e+02,1.634338805811840984e+02,2.316397782901487403e+02
1.363498382797732056e-01,2.679779931038385188e-01,4.871982497380637489e-01,5.195598100703183175e-02,9.948685723886858678e-01,3.867919339334459892e+02,1.949176652055379577e+02,2.040762299205917145e+02,1.536374187950904684e+02
2.106000378035496889e-01,3.090966869524542915e-01,3.869484363402860283e-01,2.326661523373207696e-01,1.119195779895413162e-01,5.729833351973065874e+02,4.223961190907812124e+01,1.111357668014328404e+01,1.797222814845701180e+02
2.255974863170009392e-01,2.506309106275206866e-01,2.887782463322521864e-01,1.610567206753702740e-01,8.153989663519496389e-01,7.459615995174568752e+02,2.239978445578071842e+02,1.269440970185464721e+02,6.587817916554168107e+01
1.692778136626537158e-03,2.794359290510669003e-01,2.132201775275618383e-01,1.135430199179318922e-01,2.095201134963526057e-01,8.849172395777396787e+02,2.163591505832597193e+02,2.119262181313954727e+02,1.131061581479322058e+02
1.845801970488419874e-01,2.956033565711932432e-01,1.866156486909502088e-01,7.489979845081495835e-02,6.616904674832421174e-01,4.192867842455693221e+02,1.138736190945047895e+02,9.894801280359317275e+00,2.697957652529632355e+01
2.311228654640588853e-01,2.733681279231525152e-01,3.737221559224708778e-01,8.003296980057184040e-01,6.951535984876249241e-01,3.804098327328199503e+02,2.429065445721693379e+02,1.831166179730366537e+02,9.067719070828515271e+01
2.132751812386506907e-01,2.713845405025351321e-01,6.639036556504533948e-01,7.188280844127451497e-01,8.051905551955017559e-01,9.637232763314382282e+02,2.021061338851552023e+02,5.262616783127963060e+01,7.756486729259546564e+01
1.106990660115176744e-01,3.129892806398789640e-01,2.475296532100754454e-01,3.147175174567922729e-01,8.921951200172870688e-01,1.009123192357227254e+03,2.863441853162720818e+01,7.242902032247552313e+01,2.362978325933616759e+02
2.211733744465156637e-01,2.866051556783758558e-01,6.221924868317890711e-01,1.511731513747413824e-01,2.735103152639901669e-01,1.086198473960489082e+03,2.378183165273408406e+02,1.873903911392803820e+02,1.617362594760326715e+02
