length, eff, eps, R_m, R_p, R_s
2.525749924739047469e-01,2.344906257533926341e-01,5.639883688060902678e-01,1.111268482349379383e+02,1.643029144580108891e+02,1.129259349131502859e+02
4.356119306500133570e-02,3.740774619432624126e-01,1.808243820081606168e-01,1.436117711395074821e+02,6.416402694017831720e+01,1.537620097241576644e+01
2.248127817976229847e-01,3.487661653738928225e-01,7.549332216016578778e-01,2.403752462358075945e+02,7.999264357402442727e+01,1.216314413969351875e+02
9.244671635890776284e-02,3.307917538677825342e-01,1.413346714083512368e-01,1.853626094023114135e+01,1.103684495974445952e+02,3.404347888777307674e+01
2.077410731494979956e-01,2.009728902204200307e-01,3.308378584016175572e-01,9.751572883972794159e+01,1.076623014480789919e+02,5.585798035037284848e+01
7.265650182110972022e-02,2.314062197098487039e-01,2.150020809992272963e-01,2.303103973860833946e+02,6.200348076720748480e+01,2.299424680044372167e+02
2.422670720715211501e-01,3.146307224269235259e-01,4.147623840290742825e-01,1.327315526170590090e+02,2.085306928272913467e+02,1.813195637983010329e+02
7.900273028803504738e-02,3.319382208462061112e-01,2.657865526877707940e-01,1.652031738862649775e+02,1.394361615284359246e+01,1.653561748616164095e+02
8.889849432231988757e-02,3.626373565414084399e-01,4.103008431591320671e-01,1.485571875246983211e+02,1.284974111595280704e+02,2.456068684293757940e+02
4.062987305852008152e-02,2.551735032974631334e-01,3.940256465237106376e-01,1.559094479948378478e+02,1.028100982364436646e+02,9.271530829733750068e+01
8.608926915393851076e-02,3.597907660992506473e-01,3.093857424314269688e-01,2.283814243972324789e+02,1.602924621440637054e+02,4.407287237470446684e+01
1.686475259475294641e-01,3.943938022073728011e-01,5.108855961200012841e-01,1.197679539456226649e+02,1.204396972463126616e+02,1.097636436753318776e+02
6.695995620860593911e-02,3.994019728317063089e-01,6.300707177136276593e-01,2.050032389207519543e+02,1.714344528093844247e+02,9.839534061378255103e+01
1.673251970303819836e-01,3.288204263195438903e-01,1.685585350366306245e-01,2.156404529206919847e+02,4.874370933040708564e+01,1.156533137143868686e+02
1.693341331031154862e-01,3.423923132018120707e-01,6.622203217146879206e-01,2.016182401292498412e+02,1.143057440223803525e+02,2.495945935774430247e+00
1.739750082630939498e-01,2.673767379163012325e-01,1.329258689026545648e-01,2.039123484992422277e+02,2.412593082333734458e+02,1.704708603079390627e+02
1.974199695290336232e-01,2.636688303730984062e-01,6.971096112659069810e-01,2.263927922806254003e+02,9.961636244657981365e+01,1.519380254314838226e+02
2.067574342378150076e-01,2.364622750851852473e-01,5.968836789597266046e-01,5.612512800277857394e+01,1.895179285862387815e+02,2.225506091023012800e+02
3.702033494637076150e-02,2.392625686575289290e-01,1.384460772504905735e-01,4.168621851714026150e+01,8.850542396285671032e+01,1.999945942758392903e+02
2.473392051610371067e-01,2.818303343728213450e-01,1.795779409461631948e-01,6.085937905018714389e+01,1.275121158665814249e+02,3.322459036866399629e+01
1.183611082216162735e-01,2.957983355494189226e-01,3.877919146749521095e-01,2.458195974297182715e+02,1.726580012184049338e+02,1.857772816763796300e+02
1.070021977622251097e-01,2.963651359265012664e-01,4.554111032589985841e-02,8.796554443428794912e+01,2.227206871538978703e+02,1.180130874511321650e+02
2.217616611652513114e-01,2.863544385613131515e-01,1.233554882514471540e-01,2.407479909622752245e+01,1.695916752897231277e+02,1.591208676147733456e+02
